slang_term,meaning,slang_sentence,normal_sentence,semantic_category,category,platform,date_added,frequency_score,trend_status,source
rizz,charisma or flirting skill,He has such good rizz with everyone he meets.,He has such great charm with everyone he meets.,metaphorical_extension,compliment,TikTok,2026-03-18,80,trending,original
delulu,being delusional,She is totally delulu about that relationship.,She is completely delusional about that relationship.,abbreviation_or_expression,humor,TikTok,2026-03-18,80,trending,original
mid,average or not good,"That movie was so mid, not worth watching.","That movie was so average, not worth watching.",pejoration,criticism,Instagram,2026-03-18,80,trending,original
sus,suspicious,That whole situation is sus.,That whole situation seems suspicious.,pejoration,expression,Discord,2026-03-18,80,trending,original
goofy,silly or weird,He acting goofy in front of everyone.,He is acting silly in front of everyone.,abbreviation_or_expression,insult,TikTok,2026-03-18,75,trending,original
ahh,expression filler,She is giving ahh energy today.,She is showing expression filler energy today.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
cook,do something well,"Let him cook, he knows what he is doing.","Let him do his thing, he knows what he is doing.",metaphorical_extension,expression,Chat,2026-03-18,75,trending,original
cooked,in trouble or did well,He is cooked after that performance.,He is in serious trouble after that performance.,metaphorical_extension,expression,Chat,2026-03-18,75,trending,original
nah fr,seriously,Nah fr that was the best meal ever.,No seriously that was the best meal ever.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
frfr,for real for real,That was crazy frfr.,That was genuinely crazy.,narrowing,expression,Chat,2026-03-18,75,trending,original
wtf,what the hell,Wtf just happened in that game?,What the hell just happened in that game?,abbreviation_or_expression,reaction,Chat,2026-03-18,75,trending,original
idk,i don't know,"Idk man, this situation is confusing.","I do not know man, this situation is confusing.",abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
imo,in my opinion,Imo this is a waste of time.,In my opinion this is a waste of time.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
irl,in real life,He is way nicer irl than online.,He is way nicer in real life than online.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
af,as f***,"She is smart af, no joke.","She is extremely smart, no joke.",abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
ngl,not gonna lie,Ngl that pizza was top tier.,"Not gonna lie, that pizza was extremely good.",abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
tbh,to be honest,Tbh I was not expecting that.,To be honest I was not expecting that.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
glazing,overpraising,"Stop glazing him, he made a mistake.","Stop overpraising him, he made a mistake.",metaphorical_extension,criticism,TikTok,2026-03-18,75,trending,original
meatriding,excessive support,He meatriding that celebrity for clout.,He is excessively supporting that celebrity for attention.,metaphorical_extension,insult,TikTok,2026-03-18,75,trending,original
corny,cringey,"That joke was so corny, I can't.",That joke was so cringey and unoriginal.,pejoration,criticism,Chat,2026-03-18,75,trending,original
valid,acceptable,Your feelings are totally valid.,Your feelings are completely acceptable and understandable.,amelioration,expression,Chat,2026-03-18,75,trending,original
invalid,not acceptable,"That argument is invalid, it makes no sense.","That argument is not acceptable, it makes no sense.",pejoration,expression,Chat,2026-03-18,75,trending,original
down bad,desperate,He is so down bad for her.,He is desperately attracted to her.,narrowing,emotion,Chat,2026-03-18,75,trending,original
locked in,focused,She is locked in for this exam.,She is completely focused for this exam.,metaphorical_extension,expression,Chat,2026-03-18,75,trending,original
outta pocket,unexpected,That comment was outta pocket.,That comment was completely inappropriate.,pejoration,expression,Chat,2026-03-18,75,trending,original
say less,understood,"Say less, I already got you.","You do not need to say more, I already understand.",narrowing,expression,Chat,2026-03-18,75,trending,original
on god,seriously,"I am serious on god, I saw it happen.","I am being completely serious, I saw it happen.",narrowing,expression,Chat,2026-03-18,75,trending,original
deadass,seriously,I am deadass not joking right now.,I am being completely serious right now.,narrowing,expression,Chat,2026-03-18,75,trending,original
hella,very,That was hella funny bro.,That was extremely funny man.,abbreviation_or_expression,expression,Chat,2026-03-18,75,trending,original
yapping,talking too much,He keeps yapping about the same thing.,He keeps talking too much about the same thing.,metaphorical_extension,criticism,Chat,2026-03-18,75,trending,original
low effort,not trying,That was a total low effort moment.,That was a complete not trying moment.,abbreviation_or_expression,criticism,Chat,2026-03-18,75,trending,original
tryhard,over trying,She is giving tryhard energy today.,She is showing over trying energy today.,abbreviation_or_expression,criticism,Gaming,2026-03-18,75,trending,original
clutch,important success,She is giving clutch energy today.,She is showing important success energy today.,abbreviation_or_expression,compliment,Gaming,2026-03-18,75,trending,original
throwing,losing intentionally,She is giving throwing energy today.,She is showing losing intentionally energy today.,abbreviation_or_expression,criticism,Gaming,2026-03-18,75,trending,original
big vibe,atmosphere or feeling,That person has big vibe today.,That person has atmosphere or feeling energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
lowkey energy,somewhat secretly,That person has lowkey energy today.,That person has somewhat secretly energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
highkey mood,openly and obviously,That person has highkey mood today.,That person has openly and obviously energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
super flex,show off,That person has super flex today.,That person has show off energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
ultra drip,stylish outfit or fashion sense,That person has ultra drip today.,That person has stylish outfit or fashion sense energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
mega fit,mega fit,That is giving mega fit energy.,That is giving a very specific fit feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
random aura,a mysterious personal energy,That person has random aura today.,That person has a mysterious personal energy energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
daily scene,a situation or setting,That person has daily scene today.,That person has a situation or setting energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
main moment,a perfect situation,That person has main moment today.,That person has a perfect situation energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
real era,a personal phase or period,That person has real era today.,That person has a personal phase or period energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
big move,an action or strategy,That person has big move today.,That person has an action or strategy energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
lowkey take,somewhat secretly,That person has lowkey take today.,That person has somewhat secretly energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
highkey look,openly and obviously,That person has highkey look today.,That person has openly and obviously energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
super style,super style,That is giving super style energy.,That is giving a very specific style feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
ultra phase,a period of time or mood,That person has ultra phase today.,That person has a period of time or mood energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
mega zone,a specific mental or physical space,That person has mega zone today.,That person has a specific mental or physical space energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
random game,situation or context,That person has random game today.,That person has situation or context energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
daily play,a strategic move,That person has daily play today.,That person has a strategic move energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
main talk,conversation or topic,That person has main talk today.,That person has conversation or topic energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
real type,personality type,That person has real type today.,That person has personality type energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,70,generated,generated
so rizz,extremely charisma or flirting skill,That fit is so rizz.,That outfit is so charisma or flirting skill.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
rizz af,extremely charisma or flirting skill,He is rizz af.,He is extremely charisma or flirting skill.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
so delulu,extremely being delusional,That fit is so delulu.,That outfit is so being delusional.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
delulu af,extremely being delusional,He is delulu af.,He is extremely being delusional.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
so mid,extremely average or mediocre,That fit is so mid.,That outfit is so average or mediocre.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
mid af,extremely average or mediocre,He is mid af.,He is extremely average or mediocre.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
so sus,extremely suspicious,That fit is so sus.,That outfit is so suspicious.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
sus af,extremely suspicious,He is sus af.,He is extremely suspicious.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
bet,okay or agreement,That person has bet today.,That person has okay or agreement energy today.,amelioration,expression,Social Media,2026-03-18,85,real,original
so bet,extremely okay or agreement,That fit is so bet.,That outfit is so okay or agreement.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
bet af,extremely okay or agreement,He is bet af.,He is extremely okay or agreement.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
cap,a lie,That person has cap today.,That person has a lie energy today.,pejoration,expression,Social Media,2026-03-18,85,real,original
so cap,extremely a lie,That fit is so cap.,That outfit is so a lie.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
cap af,extremely a lie,He is cap af.,He is extremely a lie.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
no cap,a lie,That person has no cap today.,That person has a lie energy today.,narrowing,expression,Social Media,2026-03-18,85,real,original
so no cap,"extremely honestly, no lie",That fit is so no cap.,"That outfit is so honestly, no lie.",abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
no cap af,"extremely honestly, no lie",He is no cap af.,"He is extremely honestly, no lie.",abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
bussin,extremely good,That person has bussin today.,That person has extremely good energy today.,amelioration,expression,Social Media,2026-03-18,85,real,original
so bussin,extremely extremely good,That fit is so bussin.,That outfit is so extremely good.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
bussin af,extremely extremely good,He is bussin af.,He is extremely extremely good.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
drip,stylish outfit or fashion sense,That person has drip today.,That person has stylish outfit or fashion sense energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so drip,extremely stylish outfit or fashion sense,That fit is so drip.,That outfit is so stylish outfit or fashion sense.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
drip af,extremely stylish outfit or fashion sense,He is drip af.,He is extremely stylish outfit or fashion sense.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
fire,amazing or excellent,That person has fire today.,That person has amazing or excellent energy today.,metaphorical_extension,expression,Social Media,2026-03-18,85,real,original
so fire,extremely amazing or excellent,That fit is so fire.,That outfit is so amazing or excellent.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
fire af,extremely amazing or excellent,He is fire af.,He is extremely amazing or excellent.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
lowkey,somewhat secretly,That person has lowkey today.,That person has somewhat secretly energy today.,metaphorical_extension,expression,Social Media,2026-03-18,85,real,original
so lowkey,extremely somewhat secretly,That fit is so lowkey.,That outfit is so somewhat secretly.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
lowkey af,extremely somewhat secretly,He is lowkey af.,He is extremely somewhat secretly.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
highkey,openly and obviously,That person has highkey today.,That person has openly and obviously energy today.,metaphorical_extension,expression,Social Media,2026-03-18,85,real,original
so highkey,extremely openly and obviously,That fit is so highkey.,That outfit is so openly and obviously.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
highkey af,extremely openly and obviously,He is highkey af.,He is extremely openly and obviously.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
npc,someone acting without personality,That person has npc today.,That person has someone acting without personality energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so npc,extremely someone acting without personality,That fit is so npc.,That outfit is so someone acting without personality.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
npc af,extremely someone acting without personality,He is npc af.,He is extremely someone acting without personality.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
ate,ate,That is giving ate energy.,That is giving a very specific ate feeling.,metaphorical_extension,expression,Social Media,2026-03-18,85,real,original
so ate,extremely ate,That fit is so ate.,That outfit is so ate.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
ate af,extremely ate,He is ate af.,He is extremely ate.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
slay,do something excellently,That person has slay today.,That person has do something excellently energy today.,metaphorical_extension,expression,Social Media,2026-03-18,85,real,original
so slay,extremely do something excellently,That fit is so slay.,That outfit is so do something excellently.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
slay af,extremely do something excellently,He is slay af.,He is extremely do something excellently.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
goated,being the greatest,That person has goated today.,That person has being the greatest energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so goated,extremely being the greatest,That fit is so goated.,That outfit is so being the greatest.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
goated af,extremely being the greatest,He is goated af.,He is extremely being the greatest.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
W,W,That is giving W energy.,That is giving a very specific W feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so W,extremely w,That fit is so W.,That outfit is so w.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
W af,extremely w,He is W af.,He is extremely w.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
L,L,That is giving L energy.,That is giving a very specific L feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so L,extremely l,That fit is so L.,That outfit is so l.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
L af,extremely l,He is L af.,He is extremely l.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
ratio,getting more replies than likes,That person has ratio today.,That person has getting more replies than likes energy today.,pejoration,expression,Social Media,2026-03-18,85,real,original
so ratio,extremely getting more replies than likes,That fit is so ratio.,That outfit is so getting more replies than likes.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
ratio af,extremely getting more replies than likes,He is ratio af.,He is extremely getting more replies than likes.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
based,confident and unapologetic,That person has based today.,That person has confident and unapologetic energy today.,amelioration,expression,Social Media,2026-03-18,85,real,original
so based,extremely confident and unapologetic,That fit is so based.,That outfit is so confident and unapologetic.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
based af,extremely confident and unapologetic,He is based af.,He is extremely confident and unapologetic.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
cringe,embarrassing,That person has cringe today.,That person has embarrassing energy today.,pejoration,expression,Social Media,2026-03-18,85,real,original
so cringe,extremely embarrassing,That fit is so cringe.,That outfit is so embarrassing.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
cringe af,extremely embarrassing,He is cringe af.,He is extremely embarrassing.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
simp,someone who is overly devoted to someone,That person has simp today.,That person has someone who is overly devoted to someone energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so simp,extremely someone who is overly devoted to someone,That fit is so simp.,That outfit is so someone who is overly devoted to someone.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
simp af,extremely someone who is overly devoted to someone,He is simp af.,He is extremely someone who is overly devoted to someone.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
ghosted,stopped responding completely,That person has ghosted today.,That person has stopped responding completely energy today.,metaphorical_extension,expression,Social Media,2026-03-18,85,real,original
so ghosted,extremely stopped responding completely,That fit is so ghosted.,That outfit is so stopped responding completely.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
ghosted af,extremely stopped responding completely,He is ghosted af.,He is extremely stopped responding completely.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
flex,show off,That person has flex today.,That person has show off energy today.,metaphorical_extension,expression,Social Media,2026-03-18,85,real,original
so flex,extremely show off,That fit is so flex.,That outfit is so show off.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
flex af,extremely show off,He is flex af.,He is extremely show off.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
vibe,atmosphere or feeling,That person has vibe today.,That person has atmosphere or feeling energy today.,metaphorical_extension,expression,Social Media,2026-03-18,85,real,original
so vibe,extremely atmosphere or feeling,That fit is so vibe.,That outfit is so atmosphere or feeling.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
vibe af,extremely atmosphere or feeling,He is vibe af.,He is extremely atmosphere or feeling.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
glow up,glow up,That is giving glow up energy.,That is giving a very specific up feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so glow up,extremely a major positive transformation,That fit is so glow up.,That outfit is so a major positive transformation.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
glow up af,extremely a major positive transformation,He is glow up af.,He is extremely a major positive transformation.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
side eye,side eye,That is giving side eye energy.,That is giving a very specific eye feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so side eye,extremely side eye,That fit is so side eye.,That outfit is so side eye.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
side eye af,extremely side eye,He is side eye af.,He is extremely side eye.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
iykyk,if you know you know,That person has iykyk today.,That person has if you know you know energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so iykyk,extremely if you know you know,That fit is so iykyk.,That outfit is so if you know you know.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
iykyk af,extremely if you know you know,He is iykyk af.,He is extremely if you know you know.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
fr,for real,That person has fr today.,That person has for real energy today.,narrowing,expression,Social Media,2026-03-18,85,real,original
so fr,extremely for real,That fit is so fr.,That outfit is so for real.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
fr af,extremely for real,He is fr af.,He is extremely for real.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
ong,"on God, I swear",That person has ong today.,"That person has on God, I swear energy today.",narrowing,expression,Social Media,2026-03-18,85,real,original
so ong,"extremely on God, I swear",That fit is so ong.,"That outfit is so on God, I swear.",abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
ong af,"extremely on God, I swear",He is ong af.,"He is extremely on God, I swear.",abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
bruh,expression of disbelief,That person has bruh today.,That person has expression of disbelief energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so bruh,extremely expression of disbelief,That fit is so bruh.,That outfit is so expression of disbelief.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
bruh af,extremely expression of disbelief,He is bruh af.,He is extremely expression of disbelief.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
nah,no,That person has nah today.,That person has no energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so nah,extremely no,That fit is so nah.,That outfit is so no.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
nah af,extremely no,He is nah af.,He is extremely no.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
lit,exciting or amazing,That person has lit today.,That person has exciting or amazing energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so lit,extremely exciting or amazing,That fit is so lit.,That outfit is so exciting or amazing.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
lit af,extremely exciting or amazing,He is lit af.,He is extremely exciting or amazing.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
fam,close friend group,That person has fam today.,That person has close friend group energy today.,narrowing,expression,Social Media,2026-03-18,85,real,original
so fam,extremely close friend group,That fit is so fam.,That outfit is so close friend group.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
fam af,extremely close friend group,He is fam af.,He is extremely close friend group.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
bro,friend or dude,That person has bro today.,That person has friend or dude energy today.,narrowing,expression,Social Media,2026-03-18,85,real,original
so bro,extremely friend or dude,That fit is so bro.,That outfit is so friend or dude.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
bro af,extremely friend or dude,He is bro af.,He is extremely friend or dude.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
sis,sister or close female friend,That person has sis today.,That person has sister or close female friend energy today.,narrowing,expression,Social Media,2026-03-18,85,real,original
so sis,extremely sister or close female friend,That fit is so sis.,That outfit is so sister or close female friend.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
sis af,extremely sister or close female friend,He is sis af.,He is extremely sister or close female friend.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
stan,stan,That is giving stan energy.,That is giving a very specific stan feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so stan,extremely stan,That fit is so stan.,That outfit is so stan.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
stan af,extremely stan,He is stan af.,He is extremely stan.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
era,a personal phase or period,That person has era today.,That person has a personal phase or period energy today.,broadening,expression,Social Media,2026-03-18,85,real,original
so era,extremely a personal phase or period,That fit is so era.,That outfit is so a personal phase or period.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
era af,extremely a personal phase or period,He is era af.,He is extremely a personal phase or period.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
ick,ick,That is giving ick energy.,That is giving a very specific ick feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so ick,extremely ick,That fit is so ick.,That outfit is so ick.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
ick af,extremely ick,He is ick af.,He is extremely ick.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
rent free,rent free,That is giving rent free energy.,That is giving a very specific free feeling.,narrowing,expression,Social Media,2026-03-18,85,real,original
so rent free,extremely staying in your mind uninvited,That fit is so rent free.,That outfit is so staying in your mind uninvited.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
