slang_term,meaning,slang_sentence,normal_sentence,semantic_category,category,platform,date_added,frequency_score,trend_status,source
rent free af,extremely staying in your mind uninvited,He is rent free af.,He is extremely staying in your mind uninvited.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
snatched,looking extremely good or slim,That person has snatched today.,That person has looking extremely good or slim energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so snatched,extremely looking extremely good or slim,That fit is so snatched.,That outfit is so looking extremely good or slim.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
snatched af,extremely looking extremely good or slim,He is snatched af.,He is extremely looking extremely good or slim.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
period,end of discussion,That person has period today.,That person has end of discussion energy today.,narrowing,expression,Social Media,2026-03-18,85,real,original
so period,extremely end of discussion,That fit is so period.,That outfit is so end of discussion.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
period af,extremely end of discussion,He is period af.,He is extremely end of discussion.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
tea,gossip,That person has tea today.,That person has gossip energy today.,metaphorical_extension,expression,Social Media,2026-03-18,85,real,original
so tea,extremely gossip,That fit is so tea.,That outfit is so gossip.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
tea af,extremely gossip,He is tea af.,He is extremely gossip.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
shade,disrespect or indirect insult,That person has shade today.,That person has disrespect or indirect insult energy today.,metaphorical_extension,expression,Social Media,2026-03-18,85,real,original
so shade,extremely disrespect or indirect insult,That fit is so shade.,That outfit is so disrespect or indirect insult.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
shade af,extremely disrespect or indirect insult,He is shade af.,He is extremely disrespect or indirect insult.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
extra,extra,That is giving extra energy.,That is giving a very specific extra feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so extra,extremely extra,That fit is so extra.,That outfit is so extra.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
extra af,extremely extra,He is extra af.,He is extremely extra.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
salty,bitter or upset,That person has salty today.,That person has bitter or upset energy today.,pejoration,expression,Social Media,2026-03-18,85,real,original
so salty,extremely bitter or upset,That fit is so salty.,That outfit is so bitter or upset.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
salty af,extremely bitter or upset,He is salty af.,He is extremely bitter or upset.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
pressed,bothered or upset,That person has pressed today.,That person has bothered or upset energy today.,pejoration,expression,Social Media,2026-03-18,85,real,original
so pressed,extremely bothered or upset,That fit is so pressed.,That outfit is so bothered or upset.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
pressed af,extremely bothered or upset,He is pressed af.,He is extremely bothered or upset.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
so valid,extremely acceptable and understandable,That fit is so valid.,That outfit is so acceptable and understandable.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
valid af,extremely acceptable and understandable,He is valid af.,He is extremely acceptable and understandable.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
dead,dead,That is giving dead energy.,That is giving a very specific dead feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so dead,extremely dead,That fit is so dead.,That outfit is so dead.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
dead af,extremely dead,He is dead af.,He is extremely dead.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
send me,send me,That is giving send me energy.,That is giving a very specific me feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so send me,extremely that made me laugh hard,That fit is so send me.,That outfit is so that made me laugh hard.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
send me af,extremely that made me laugh hard,He is send me af.,He is extremely that made me laugh hard.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
it's giving,it's giving,That is giving it's giving energy.,That is giving a very specific giving feeling.,broadening,expression,Social Media,2026-03-18,85,real,original
so it's giving,extremely it has the vibe or energy of something,That fit is so it's giving.,That outfit is so it has the vibe or energy of something.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
it's giving af,extremely it has the vibe or energy of something,He is it's giving af.,He is extremely it has the vibe or energy of something.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
brainrot,brainrot,That is giving brainrot energy.,That is giving a very specific brainrot feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so brainrot,extremely brainrot,That fit is so brainrot.,That outfit is so brainrot.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
brainrot af,extremely brainrot,He is brainrot af.,He is extremely brainrot.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
gyatt,gyatt,That is giving gyatt energy.,That is giving a very specific gyatt feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so gyatt,extremely gyatt,That fit is so gyatt.,That outfit is so gyatt.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
gyatt af,extremely gyatt,He is gyatt af.,He is extremely gyatt.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
fanum tax,fanum tax,That is giving fanum tax energy.,That is giving a very specific tax feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so fanum tax,extremely fanum tax,That fit is so fanum tax.,That outfit is so fanum tax.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
fanum tax af,extremely fanum tax,He is fanum tax af.,He is extremely fanum tax.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
sigma,independent self-made person,That person has sigma today.,That person has independent self-made person energy today.,amelioration,expression,Social Media,2026-03-18,85,real,original
so sigma,extremely independent self-made person,That fit is so sigma.,That outfit is so independent self-made person.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
sigma af,extremely independent self-made person,He is sigma af.,He is extremely independent self-made person.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
alpha,alpha,That is giving alpha energy.,That is giving a very specific alpha feeling.,amelioration,expression,Social Media,2026-03-18,85,real,original
so alpha,extremely alpha,That fit is so alpha.,That outfit is so alpha.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
alpha af,extremely alpha,He is alpha af.,He is extremely alpha.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
beta,beta,That is giving beta energy.,That is giving a very specific beta feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so beta,extremely beta,That fit is so beta.,That outfit is so beta.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
beta af,extremely beta,He is beta af.,He is extremely beta.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
npc energy,someone acting without personality,That person has npc energy today.,That person has someone acting without personality energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so npc energy,extremely npc energy,That fit is so npc energy.,That outfit is so npc energy.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
npc energy af,extremely npc energy,He is npc energy af.,He is extremely npc energy.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
let him cook,do something well,That person has let him cook today.,That person has do something well energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so let him cook,extremely let him cook,That fit is so let him cook.,That outfit is so let him cook.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
let him cook af,extremely let him cook,He is let him cook af.,He is extremely let him cook.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
overcooked,overcooked,That is giving overcooked energy.,That is giving a very specific overcooked feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so overcooked,extremely overcooked,That fit is so overcooked.,That outfit is so overcooked.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
overcooked af,extremely overcooked,He is overcooked af.,He is extremely overcooked.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
so say less,"extremely I understand, no need to explain",That fit is so say less.,"That outfit is so I understand, no need to explain.",abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
say less af,"extremely I understand, no need to explain",He is say less af.,"He is extremely I understand, no need to explain.",abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
so locked in,extremely fully focused,That fit is so locked in.,That outfit is so fully focused.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
locked in af,extremely fully focused,He is locked in af.,He is extremely fully focused.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
out of pocket,out of pocket,That is giving out of pocket energy.,That is giving a very specific pocket feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so out of pocket,extremely out of pocket,That fit is so out of pocket.,That outfit is so out of pocket.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
out of pocket af,extremely out of pocket,He is out of pocket af.,He is extremely out of pocket.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
so down bad,extremely desperately attracted to someone,That fit is so down bad.,That outfit is so desperately attracted to someone.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
down bad af,extremely desperately attracted to someone,He is down bad af.,He is extremely desperately attracted to someone.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
thirsty,thirsty,That is giving thirsty energy.,That is giving a very specific thirsty feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so thirsty,extremely thirsty,That fit is so thirsty.,That outfit is so thirsty.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
thirsty af,extremely thirsty,He is thirsty af.,He is extremely thirsty.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
in my bag,in my bag,That is giving in my bag energy.,That is giving a very specific bag feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so in my bag,extremely in my bag,That fit is so in my bag.,That outfit is so in my bag.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
in my bag af,extremely in my bag,He is in my bag af.,He is extremely in my bag.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
on repeat,on repeat,That is giving on repeat energy.,That is giving a very specific repeat feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so on repeat,extremely on repeat,That fit is so on repeat.,That outfit is so on repeat.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
on repeat af,extremely on repeat,He is on repeat af.,He is extremely on repeat.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
touch grass,touch grass,That is giving touch grass energy.,That is giving a very specific grass feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so touch grass,extremely go outside and get off the internet,That fit is so touch grass.,That outfit is so go outside and get off the internet.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
touch grass af,extremely go outside and get off the internet,He is touch grass af.,He is extremely go outside and get off the internet.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
based take,confident and unapologetic,That person has based take today.,That person has confident and unapologetic energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so based take,extremely based take,That fit is so based take.,That outfit is so based take.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
based take af,extremely based take,He is based take af.,He is extremely based take.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
hot take,an opinion or perspective,That person has hot take today.,That person has an opinion or perspective energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so hot take,extremely hot take,That fit is so hot take.,That outfit is so hot take.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
hot take af,extremely hot take,He is hot take af.,He is extremely hot take.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
main character,main character,That is giving main character energy.,That is giving a very specific character feeling.,broadening,expression,Social Media,2026-03-18,85,real,original
so main character,extremely acting like the center of everything,That fit is so main character.,That outfit is so acting like the center of everything.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
main character af,extremely acting like the center of everything,He is main character af.,He is extremely acting like the center of everything.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
villain era,a personal phase or period,That person has villain era today.,That person has a personal phase or period energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so villain era,extremely villain era,That fit is so villain era.,That outfit is so villain era.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
villain era af,extremely villain era,He is villain era af.,He is extremely villain era.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
soft launch,soft launch,That is giving soft launch energy.,That is giving a very specific launch feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so soft launch,extremely subtly hinting about a relationship,That fit is so soft launch.,That outfit is so subtly hinting about a relationship.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
soft launch af,extremely subtly hinting about a relationship,He is soft launch af.,He is extremely subtly hinting about a relationship.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
hard launch,hard launch,That is giving hard launch energy.,That is giving a very specific launch feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so hard launch,extremely publicly announcing a relationship,That fit is so hard launch.,That outfit is so publicly announcing a relationship.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
hard launch af,extremely publicly announcing a relationship,He is hard launch af.,He is extremely publicly announcing a relationship.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
delusional arc,delusional arc,That is giving delusional arc energy.,That is giving a very specific arc feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so delusional arc,extremely going through an unrealistic phase,That fit is so delusional arc.,That outfit is so going through an unrealistic phase.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
delusional arc af,extremely going through an unrealistic phase,He is delusional arc af.,He is extremely going through an unrealistic phase.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
no thoughts,no thoughts,That is giving no thoughts energy.,That is giving a very specific thoughts feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so no thoughts,"extremely not thinking, mindless",That fit is so no thoughts.,"That outfit is so not thinking, mindless.",abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
no thoughts af,"extremely not thinking, mindless",He is no thoughts af.,"He is extremely not thinking, mindless.",abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
head empty,head empty,That is giving head empty energy.,That is giving a very specific empty feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so head empty,extremely thinking about nothing,That fit is so head empty.,That outfit is so thinking about nothing.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
head empty af,extremely thinking about nothing,He is head empty af.,He is extremely thinking about nothing.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
main slayer,main slayer,That is giving main slayer energy.,That is giving a very specific slayer feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so main slayer,extremely main slayer,That fit is so main slayer.,That outfit is so main slayer.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
main slayer af,extremely main slayer,He is main slayer af.,He is extremely main slayer.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
aura farming,a mysterious personal energy,That person has aura farming today.,That person has a mysterious personal energy energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so aura farming,extremely intentionally building a mysterious presence,That fit is so aura farming.,That outfit is so intentionally building a mysterious presence.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
aura farming af,extremely intentionally building a mysterious presence,He is aura farming af.,He is extremely intentionally building a mysterious presence.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
caught lacking,caught lacking,That is giving caught lacking energy.,That is giving a very specific lacking feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so caught lacking,extremely caught lacking,That fit is so caught lacking.,That outfit is so caught lacking.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
caught lacking af,extremely caught lacking,He is caught lacking af.,He is extremely caught lacking.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
caught in 4k,caught in 4k,That is giving caught in 4k energy.,That is giving a very specific 4k feeling.,broadening,expression,Social Media,2026-03-18,85,real,original
so caught in 4k,extremely caught with undeniable proof,That fit is so caught in 4k.,That outfit is so caught with undeniable proof.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
caught in 4k af,extremely caught with undeniable proof,He is caught in 4k af.,He is extremely caught with undeniable proof.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
big yikes,big yikes,That is giving big yikes energy.,That is giving a very specific yikes feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so big yikes,extremely big yikes,That fit is so big yikes.,That outfit is so big yikes.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
big yikes af,extremely big yikes,He is big yikes af.,He is extremely big yikes.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
yikes,yikes,That is giving yikes energy.,That is giving a very specific yikes feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so yikes,extremely yikes,That fit is so yikes.,That outfit is so yikes.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
yikes af,extremely yikes,He is yikes af.,He is extremely yikes.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
understood assignment,"got it, clear",That person has understood assignment today.,"That person has got it, clear energy today.",metaphorical_extension,expression,Social Media,2026-03-18,85,real,original
so understood assignment,extremely knew exactly what to do,That fit is so understood assignment.,That outfit is so knew exactly what to do.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
understood assignment af,extremely knew exactly what to do,He is understood assignment af.,He is extremely knew exactly what to do.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
bare minimum,bare minimum,That is giving bare minimum energy.,That is giving a very specific minimum feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so bare minimum,extremely bare minimum,That fit is so bare minimum.,That outfit is so bare minimum.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
bare minimum af,extremely bare minimum,He is bare minimum af.,He is extremely bare minimum.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
pick me,pick me,That is giving pick me energy.,That is giving a very specific me feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so pick me,extremely pick me,That fit is so pick me.,That outfit is so pick me.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
pick me af,extremely pick me,He is pick me af.,He is extremely pick me.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
so tryhard,extremely someone who tries too much,That fit is so tryhard.,That outfit is so someone who tries too much.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
tryhard af,extremely someone who tries too much,He is tryhard af.,He is extremely someone who tries too much.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
so clutch,extremely performing perfectly under pressure,That fit is so clutch.,That outfit is so performing perfectly under pressure.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
clutch af,extremely performing perfectly under pressure,He is clutch af.,He is extremely performing perfectly under pressure.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
so throwing,extremely deliberately losing or making mistakes,That fit is so throwing.,That outfit is so deliberately losing or making mistakes.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
throwing af,extremely deliberately losing or making mistakes,He is throwing af.,He is extremely deliberately losing or making mistakes.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
so low effort,extremely not trying,That fit is so low effort.,That outfit is so not trying.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
low effort af,extremely not trying,He is low effort af.,He is extremely not trying.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
high effort,high effort,That is giving high effort energy.,That is giving a very specific effort feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so high effort,extremely high effort,That fit is so high effort.,That outfit is so high effort.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
high effort af,extremely high effort,He is high effort af.,He is extremely high effort.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
he cooked,in serious trouble,That person has he cooked today.,That person has in serious trouble energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so he cooked,extremely he did it perfectly,That fit is so he cooked.,That outfit is so he did it perfectly.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
he cooked af,extremely he did it perfectly,He is he cooked af.,He is extremely he did it perfectly.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
she cooked,in serious trouble,That person has she cooked today.,That person has in serious trouble energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so she cooked,extremely she did it perfectly,That fit is so she cooked.,That outfit is so she did it perfectly.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
she cooked af,extremely she did it perfectly,He is she cooked af.,He is extremely she did it perfectly.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
they cooked,in serious trouble,That person has they cooked today.,That person has in serious trouble energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so they cooked,extremely they cooked,That fit is so they cooked.,That outfit is so they cooked.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
they cooked af,extremely they cooked,He is they cooked af.,He is extremely they cooked.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
overthinking,overthinking,That is giving overthinking energy.,That is giving a very specific overthinking feeling.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so overthinking,extremely overthinking,That fit is so overthinking.,That outfit is so overthinking.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
overthinking af,extremely overthinking,He is overthinking af.,He is extremely overthinking.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
main vibe,atmosphere or feeling,That person has main vibe today.,That person has atmosphere or feeling energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so main vibe,extremely main vibe,That fit is so main vibe.,That outfit is so main vibe.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
main vibe af,extremely main vibe,He is main vibe af.,He is extremely main vibe.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
corecore,a deeply emotional internet aesthetic,That person has corecore today.,That person has a deeply emotional internet aesthetic energy today.,abbreviation_or_expression,expression,Social Media,2026-03-18,85,real,original
so corecore,extremely a deeply emotional internet aesthetic,That fit is so corecore.,That outfit is so a deeply emotional internet aesthetic.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
corecore af,extremely a deeply emotional internet aesthetic,He is corecore af.,He is extremely a deeply emotional internet aesthetic.,abbreviation_or_expression,expression,Chat,2026-03-18,85,real,original
