slang_term,meaning,category,platform,example_sentence,date_added,frequency_score,trend_status
rizz,charisma or flirting skill,compliment,TikTok,bro has insane rizz,2026-03-18,80,trending
delulu,being delusional,humor,TikTok,she is delulu,2026-03-18,80,trending
mid,average or not good,criticism,Instagram,that movie was mid,2026-03-18,80,trending
sus,suspicious,expression,Discord,he acting sus,2026-03-18,80,trending
goofy,silly or weird,insult,TikTok,he acting goofy,2026-03-18,75,trending
ahh,expression filler,expression,Chat,goofy ahh guy,2026-03-18,75,trending
cook,do something well,expression,Chat,let him cook,2026-03-18,75,trending
cooked,in trouble or did well,expression,Chat,he cooked,2026-03-18,75,trending
nah fr,seriously,expression,Chat,nah fr that's true,2026-03-18,75,trending
frfr,for real for real,expression,Chat,that crazy frfr,2026-03-18,75,trending
wtf,what the hell,reaction,Chat,wtf was that,2026-03-18,75,trending
idk,i don't know,expression,Chat,idk bro,2026-03-18,75,trending
imo,in my opinion,expression,Chat,imo it's good,2026-03-18,75,trending
irl,in real life,expression,Chat,not same irl,2026-03-18,75,trending
af,as f***,expression,Chat,tired af,2026-03-18,75,trending
ngl,not gonna lie,expression,Chat,ngl that was good,2026-03-18,75,trending
tbh,to be honest,expression,Chat,tbh I agree,2026-03-18,75,trending
glazing,overpraising,criticism,TikTok,stop glazing him,2026-03-18,75,trending
meatriding,excessive support,insult,TikTok,he meatriding,2026-03-18,75,trending
corny,cringey,criticism,Chat,that's corny,2026-03-18,75,trending
valid,acceptable,expression,Chat,that's valid,2026-03-18,75,trending
invalid,not acceptable,expression,Chat,that's invalid,2026-03-18,75,trending
down bad,desperate,emotion,Chat,he down bad,2026-03-18,75,trending
locked in,focused,expression,Chat,I'm locked in,2026-03-18,75,trending
outta pocket,unexpected,expression,Chat,that's outta pocket,2026-03-18,75,trending
say less,understood,expression,Chat,say less bro,2026-03-18,75,trending
on god,seriously,expression,Chat,I'm serious ong,2026-03-18,75,trending
deadass,seriously,expression,Chat,I'm deadass,2026-03-18,75,trending
hella,very,expression,Chat,hella funny,2026-03-18,75,trending
yapping,talking too much,criticism,Chat,he yapping,2026-03-18,75,trending
low effort,not trying,criticism,Chat,that's low effort,2026-03-18,75,trending
tryhard,over trying,criticism,Gaming,he tryhard,2026-03-18,75,trending
clutch,important success,compliment,Gaming,that was clutch,2026-03-18,75,trending
throwing,losing intentionally,criticism,Gaming,he throwing,2026-03-18,75,trending
big vibe,genz style expression,expression,Social Media,that is big vibe,2026-03-18,70,generated
lowkey energy,genz style expression,expression,Social Media,that is lowkey energy,2026-03-18,70,generated
highkey mood,genz style expression,expression,Social Media,that is highkey mood,2026-03-18,70,generated
super flex,genz style expression,expression,Social Media,that is super flex,2026-03-18,70,generated
ultra drip,genz style expression,expression,Social Media,that is ultra drip,2026-03-18,70,generated
mega fit,genz style expression,expression,Social Media,that is mega fit,2026-03-18,70,generated
random aura,genz style expression,expression,Social Media,that is random aura,2026-03-18,70,generated
daily scene,genz style expression,expression,Social Media,that is daily scene,2026-03-18,70,generated
main moment,genz style expression,expression,Social Media,that is main moment,2026-03-18,70,generated
real era,genz style expression,expression,Social Media,that is real era,2026-03-18,70,generated
big move,genz style expression,expression,Social Media,that is big move,2026-03-18,70,generated
lowkey take,genz style expression,expression,Social Media,that is lowkey take,2026-03-18,70,generated
highkey look,genz style expression,expression,Social Media,that is highkey look,2026-03-18,70,generated
super style,genz style expression,expression,Social Media,that is super style,2026-03-18,70,generated
ultra phase,genz style expression,expression,Social Media,that is ultra phase,2026-03-18,70,generated
mega zone,genz style expression,expression,Social Media,that is mega zone,2026-03-18,70,generated
random game,genz style expression,expression,Social Media,that is random game,2026-03-18,70,generated
daily play,genz style expression,expression,Social Media,that is daily play,2026-03-18,70,generated
main talk,genz style expression,expression,Social Media,that is main talk,2026-03-18,70,generated
real type,genz style expression,expression,Social Media,that is real type,2026-03-18,70,generated
so rizz,intensified slang,expression,Chat,that is so rizz,2026-03-18,85,real
rizz af,strong emphasis,expression,Chat,this is rizz af,2026-03-18,85,real
so delulu,intensified slang,expression,Chat,that is so delulu,2026-03-18,85,real
delulu af,strong emphasis,expression,Chat,this is delulu af,2026-03-18,85,real
so mid,intensified slang,expression,Chat,that is so mid,2026-03-18,85,real
mid af,strong emphasis,expression,Chat,this is mid af,2026-03-18,85,real
so sus,intensified slang,expression,Chat,that is so sus,2026-03-18,85,real
sus af,strong emphasis,expression,Chat,this is sus af,2026-03-18,85,real
bet,genz slang expression,expression,Social Media,bet usage,2026-03-18,85,real
so bet,intensified slang,expression,Chat,that is so bet,2026-03-18,85,real
bet af,strong emphasis,expression,Chat,this is bet af,2026-03-18,85,real
cap,genz slang expression,expression,Social Media,cap usage,2026-03-18,85,real
so cap,intensified slang,expression,Chat,that is so cap,2026-03-18,85,real
cap af,strong emphasis,expression,Chat,this is cap af,2026-03-18,85,real
no cap,genz slang expression,expression,Social Media,no cap usage,2026-03-18,85,real
so no cap,intensified slang,expression,Chat,that is so no cap,2026-03-18,85,real
no cap af,strong emphasis,expression,Chat,this is no cap af,2026-03-18,85,real
bussin,genz slang expression,expression,Social Media,bussin usage,2026-03-18,85,real
so bussin,intensified slang,expression,Chat,that is so bussin,2026-03-18,85,real
bussin af,strong emphasis,expression,Chat,this is bussin af,2026-03-18,85,real
drip,genz slang expression,expression,Social Media,drip usage,2026-03-18,85,real
so drip,intensified slang,expression,Chat,that is so drip,2026-03-18,85,real
drip af,strong emphasis,expression,Chat,this is drip af,2026-03-18,85,real
fire,genz slang expression,expression,Social Media,fire usage,2026-03-18,85,real
so fire,intensified slang,expression,Chat,that is so fire,2026-03-18,85,real
fire af,strong emphasis,expression,Chat,this is fire af,2026-03-18,85,real
lowkey,genz slang expression,expression,Social Media,lowkey usage,2026-03-18,85,real
so lowkey,intensified slang,expression,Chat,that is so lowkey,2026-03-18,85,real
lowkey af,strong emphasis,expression,Chat,this is lowkey af,2026-03-18,85,real
highkey,genz slang expression,expression,Social Media,highkey usage,2026-03-18,85,real
so highkey,intensified slang,expression,Chat,that is so highkey,2026-03-18,85,real
highkey af,strong emphasis,expression,Chat,this is highkey af,2026-03-18,85,real
npc,genz slang expression,expression,Social Media,npc usage,2026-03-18,85,real
so npc,intensified slang,expression,Chat,that is so npc,2026-03-18,85,real
npc af,strong emphasis,expression,Chat,this is npc af,2026-03-18,85,real
ate,genz slang expression,expression,Social Media,ate usage,2026-03-18,85,real
so ate,intensified slang,expression,Chat,that is so ate,2026-03-18,85,real
ate af,strong emphasis,expression,Chat,this is ate af,2026-03-18,85,real
slay,genz slang expression,expression,Social Media,slay usage,2026-03-18,85,real
so slay,intensified slang,expression,Chat,that is so slay,2026-03-18,85,real
slay af,strong emphasis,expression,Chat,this is slay af,2026-03-18,85,real
goated,genz slang expression,expression,Social Media,goated usage,2026-03-18,85,real
so goated,intensified slang,expression,Chat,that is so goated,2026-03-18,85,real
goated af,strong emphasis,expression,Chat,this is goated af,2026-03-18,85,real
W,genz slang expression,expression,Social Media,W usage,2026-03-18,85,real
so W,intensified slang,expression,Chat,that is so W,2026-03-18,85,real
W af,strong emphasis,expression,Chat,this is W af,2026-03-18,85,real
L,genz slang expression,expression,Social Media,L usage,2026-03-18,85,real
so L,intensified slang,expression,Chat,that is so L,2026-03-18,85,real
L af,strong emphasis,expression,Chat,this is L af,2026-03-18,85,real
ratio,genz slang expression,expression,Social Media,ratio usage,2026-03-18,85,real
so ratio,intensified slang,expression,Chat,that is so ratio,2026-03-18,85,real
ratio af,strong emphasis,expression,Chat,this is ratio af,2026-03-18,85,real
based,genz slang expression,expression,Social Media,based usage,2026-03-18,85,real
so based,intensified slang,expression,Chat,that is so based,2026-03-18,85,real
based af,strong emphasis,expression,Chat,this is based af,2026-03-18,85,real
cringe,genz slang expression,expression,Social Media,cringe usage,2026-03-18,85,real
so cringe,intensified slang,expression,Chat,that is so cringe,2026-03-18,85,real
cringe af,strong emphasis,expression,Chat,this is cringe af,2026-03-18,85,real
simp,genz slang expression,expression,Social Media,simp usage,2026-03-18,85,real
so simp,intensified slang,expression,Chat,that is so simp,2026-03-18,85,real
simp af,strong emphasis,expression,Chat,this is simp af,2026-03-18,85,real
ghosted,genz slang expression,expression,Social Media,ghosted usage,2026-03-18,85,real
so ghosted,intensified slang,expression,Chat,that is so ghosted,2026-03-18,85,real
ghosted af,strong emphasis,expression,Chat,this is ghosted af,2026-03-18,85,real
flex,genz slang expression,expression,Social Media,flex usage,2026-03-18,85,real
so flex,intensified slang,expression,Chat,that is so flex,2026-03-18,85,real
flex af,strong emphasis,expression,Chat,this is flex af,2026-03-18,85,real
vibe,genz slang expression,expression,Social Media,vibe usage,2026-03-18,85,real
so vibe,intensified slang,expression,Chat,that is so vibe,2026-03-18,85,real
vibe af,strong emphasis,expression,Chat,this is vibe af,2026-03-18,85,real
glow up,genz slang expression,expression,Social Media,glow up usage,2026-03-18,85,real
so glow up,intensified slang,expression,Chat,that is so glow up,2026-03-18,85,real
glow up af,strong emphasis,expression,Chat,this is glow up af,2026-03-18,85,real
side eye,genz slang expression,expression,Social Media,side eye usage,2026-03-18,85,real
so side eye,intensified slang,expression,Chat,that is so side eye,2026-03-18,85,real
side eye af,strong emphasis,expression,Chat,this is side eye af,2026-03-18,85,real
iykyk,genz slang expression,expression,Social Media,iykyk usage,2026-03-18,85,real
so iykyk,intensified slang,expression,Chat,that is so iykyk,2026-03-18,85,real
iykyk af,strong emphasis,expression,Chat,this is iykyk af,2026-03-18,85,real
fr,genz slang expression,expression,Social Media,fr usage,2026-03-18,85,real
so fr,intensified slang,expression,Chat,that is so fr,2026-03-18,85,real
fr af,strong emphasis,expression,Chat,this is fr af,2026-03-18,85,real
ong,genz slang expression,expression,Social Media,ong usage,2026-03-18,85,real
so ong,intensified slang,expression,Chat,that is so ong,2026-03-18,85,real
ong af,strong emphasis,expression,Chat,this is ong af,2026-03-18,85,real
bruh,genz slang expression,expression,Social Media,bruh usage,2026-03-18,85,real
so bruh,intensified slang,expression,Chat,that is so bruh,2026-03-18,85,real
bruh af,strong emphasis,expression,Chat,this is bruh af,2026-03-18,85,real
nah,genz slang expression,expression,Social Media,nah usage,2026-03-18,85,real
so nah,intensified slang,expression,Chat,that is so nah,2026-03-18,85,real
nah af,strong emphasis,expression,Chat,this is nah af,2026-03-18,85,real
lit,genz slang expression,expression,Social Media,lit usage,2026-03-18,85,real
so lit,intensified slang,expression,Chat,that is so lit,2026-03-18,85,real
lit af,strong emphasis,expression,Chat,this is lit af,2026-03-18,85,real
fam,genz slang expression,expression,Social Media,fam usage,2026-03-18,85,real
so fam,intensified slang,expression,Chat,that is so fam,2026-03-18,85,real
fam af,strong emphasis,expression,Chat,this is fam af,2026-03-18,85,real
bro,genz slang expression,expression,Social Media,bro usage,2026-03-18,85,real
so bro,intensified slang,expression,Chat,that is so bro,2026-03-18,85,real
bro af,strong emphasis,expression,Chat,this is bro af,2026-03-18,85,real
sis,genz slang expression,expression,Social Media,sis usage,2026-03-18,85,real
so sis,intensified slang,expression,Chat,that is so sis,2026-03-18,85,real
sis af,strong emphasis,expression,Chat,this is sis af,2026-03-18,85,real
stan,genz slang expression,expression,Social Media,stan usage,2026-03-18,85,real
so stan,intensified slang,expression,Chat,that is so stan,2026-03-18,85,real
stan af,strong emphasis,expression,Chat,this is stan af,2026-03-18,85,real
era,genz slang expression,expression,Social Media,era usage,2026-03-18,85,real
so era,intensified slang,expression,Chat,that is so era,2026-03-18,85,real
era af,strong emphasis,expression,Chat,this is era af,2026-03-18,85,real
ick,genz slang expression,expression,Social Media,ick usage,2026-03-18,85,real
so ick,intensified slang,expression,Chat,that is so ick,2026-03-18,85,real
ick af,strong emphasis,expression,Chat,this is ick af,2026-03-18,85,real
rent free,genz slang expression,expression,Social Media,rent free usage,2026-03-18,85,real
so rent free,intensified slang,expression,Chat,that is so rent free,2026-03-18,85,real
rent free af,strong emphasis,expression,Chat,this is rent free af,2026-03-18,85,real
snatched,genz slang expression,expression,Social Media,snatched usage,2026-03-18,85,real
so snatched,intensified slang,expression,Chat,that is so snatched,2026-03-18,85,real
snatched af,strong emphasis,expression,Chat,this is snatched af,2026-03-18,85,real
period,genz slang expression,expression,Social Media,period usage,2026-03-18,85,real
so period,intensified slang,expression,Chat,that is so period,2026-03-18,85,real
period af,strong emphasis,expression,Chat,this is period af,2026-03-18,85,real
tea,genz slang expression,expression,Social Media,tea usage,2026-03-18,85,real
so tea,intensified slang,expression,Chat,that is so tea,2026-03-18,85,real
tea af,strong emphasis,expression,Chat,this is tea af,2026-03-18,85,real
shade,genz slang expression,expression,Social Media,shade usage,2026-03-18,85,real
so shade,intensified slang,expression,Chat,that is so shade,2026-03-18,85,real
shade af,strong emphasis,expression,Chat,this is shade af,2026-03-18,85,real
extra,genz slang expression,expression,Social Media,extra usage,2026-03-18,85,real
so extra,intensified slang,expression,Chat,that is so extra,2026-03-18,85,real
extra af,strong emphasis,expression,Chat,this is extra af,2026-03-18,85,real
salty,genz slang expression,expression,Social Media,salty usage,2026-03-18,85,real
so salty,intensified slang,expression,Chat,that is so salty,2026-03-18,85,real
salty af,strong emphasis,expression,Chat,this is salty af,2026-03-18,85,real
pressed,genz slang expression,expression,Social Media,pressed usage,2026-03-18,85,real
so pressed,intensified slang,expression,Chat,that is so pressed,2026-03-18,85,real
pressed af,strong emphasis,expression,Chat,this is pressed af,2026-03-18,85,real
so valid,intensified slang,expression,Chat,that is so valid,2026-03-18,85,real
valid af,strong emphasis,expression,Chat,this is valid af,2026-03-18,85,real
dead,genz slang expression,expression,Social Media,dead usage,2026-03-18,85,real
so dead,intensified slang,expression,Chat,that is so dead,2026-03-18,85,real
dead af,strong emphasis,expression,Chat,this is dead af,2026-03-18,85,real
send me,genz slang expression,expression,Social Media,send me usage,2026-03-18,85,real
so send me,intensified slang,expression,Chat,that is so send me,2026-03-18,85,real
send me af,strong emphasis,expression,Chat,this is send me af,2026-03-18,85,real
it's giving,genz slang expression,expression,Social Media,it's giving usage,2026-03-18,85,real
so it's giving,intensified slang,expression,Chat,that is so it's giving,2026-03-18,85,real
it's giving af,strong emphasis,expression,Chat,this is it's giving af,2026-03-18,85,real
brainrot,genz slang expression,expression,Social Media,brainrot usage,2026-03-18,85,real
so brainrot,intensified slang,expression,Chat,that is so brainrot,2026-03-18,85,real
brainrot af,strong emphasis,expression,Chat,this is brainrot af,2026-03-18,85,real
gyatt,genz slang expression,expression,Social Media,gyatt usage,2026-03-18,85,real
so gyatt,intensified slang,expression,Chat,that is so gyatt,2026-03-18,85,real
gyatt af,strong emphasis,expression,Chat,this is gyatt af,2026-03-18,85,real
fanum tax,genz slang expression,expression,Social Media,fanum tax usage,2026-03-18,85,real
so fanum tax,intensified slang,expression,Chat,that is so fanum tax,2026-03-18,85,real
fanum tax af,strong emphasis,expression,Chat,this is fanum tax af,2026-03-18,85,real
sigma,genz slang expression,expression,Social Media,sigma usage,2026-03-18,85,real
so sigma,intensified slang,expression,Chat,that is so sigma,2026-03-18,85,real
sigma af,strong emphasis,expression,Chat,this is sigma af,2026-03-18,85,real
alpha,genz slang expression,expression,Social Media,alpha usage,2026-03-18,85,real
so alpha,intensified slang,expression,Chat,that is so alpha,2026-03-18,85,real
alpha af,strong emphasis,expression,Chat,this is alpha af,2026-03-18,85,real
beta,genz slang expression,expression,Social Media,beta usage,2026-03-18,85,real
so beta,intensified slang,expression,Chat,that is so beta,2026-03-18,85,real
beta af,strong emphasis,expression,Chat,this is beta af,2026-03-18,85,real
npc energy,genz slang expression,expression,Social Media,npc energy usage,2026-03-18,85,real
so npc energy,intensified slang,expression,Chat,that is so npc energy,2026-03-18,85,real
npc energy af,strong emphasis,expression,Chat,this is npc energy af,2026-03-18,85,real
let him cook,genz slang expression,expression,Social Media,let him cook usage,2026-03-18,85,real
so let him cook,intensified slang,expression,Chat,that is so let him cook,2026-03-18,85,real
let him cook af,strong emphasis,expression,Chat,this is let him cook af,2026-03-18,85,real
overcooked,genz slang expression,expression,Social Media,overcooked usage,2026-03-18,85,real
so overcooked,intensified slang,expression,Chat,that is so overcooked,2026-03-18,85,real
overcooked af,strong emphasis,expression,Chat,this is overcooked af,2026-03-18,85,real
so say less,intensified slang,expression,Chat,that is so say less,2026-03-18,85,real
say less af,strong emphasis,expression,Chat,this is say less af,2026-03-18,85,real
so locked in,intensified slang,expression,Chat,that is so locked in,2026-03-18,85,real
locked in af,strong emphasis,expression,Chat,this is locked in af,2026-03-18,85,real
out of pocket,genz slang expression,expression,Social Media,out of pocket usage,2026-03-18,85,real
so out of pocket,intensified slang,expression,Chat,that is so out of pocket,2026-03-18,85,real
out of pocket af,strong emphasis,expression,Chat,this is out of pocket af,2026-03-18,85,real
so down bad,intensified slang,expression,Chat,that is so down bad,2026-03-18,85,real
down bad af,strong emphasis,expression,Chat,this is down bad af,2026-03-18,85,real
thirsty,genz slang expression,expression,Social Media,thirsty usage,2026-03-18,85,real
so thirsty,intensified slang,expression,Chat,that is so thirsty,2026-03-18,85,real
thirsty af,strong emphasis,expression,Chat,this is thirsty af,2026-03-18,85,real
in my bag,genz slang expression,expression,Social Media,in my bag usage,2026-03-18,85,real
so in my bag,intensified slang,expression,Chat,that is so in my bag,2026-03-18,85,real
in my bag af,strong emphasis,expression,Chat,this is in my bag af,2026-03-18,85,real
on repeat,genz slang expression,expression,Social Media,on repeat usage,2026-03-18,85,real
so on repeat,intensified slang,expression,Chat,that is so on repeat,2026-03-18,85,real
on repeat af,strong emphasis,expression,Chat,this is on repeat af,2026-03-18,85,real
touch grass,genz slang expression,expression,Social Media,touch grass usage,2026-03-18,85,real
so touch grass,intensified slang,expression,Chat,that is so touch grass,2026-03-18,85,real
touch grass af,strong emphasis,expression,Chat,this is touch grass af,2026-03-18,85,real
based take,genz slang expression,expression,Social Media,based take usage,2026-03-18,85,real
so based take,intensified slang,expression,Chat,that is so based take,2026-03-18,85,real
based take af,strong emphasis,expression,Chat,this is based take af,2026-03-18,85,real
hot take,genz slang expression,expression,Social Media,hot take usage,2026-03-18,85,real
so hot take,intensified slang,expression,Chat,that is so hot take,2026-03-18,85,real
hot take af,strong emphasis,expression,Chat,this is hot take af,2026-03-18,85,real
main character,genz slang expression,expression,Social Media,main character usage,2026-03-18,85,real
so main character,intensified slang,expression,Chat,that is so main character,2026-03-18,85,real
main character af,strong emphasis,expression,Chat,this is main character af,2026-03-18,85,real
villain era,genz slang expression,expression,Social Media,villain era usage,2026-03-18,85,real
so villain era,intensified slang,expression,Chat,that is so villain era,2026-03-18,85,real
villain era af,strong emphasis,expression,Chat,this is villain era af,2026-03-18,85,real
soft launch,genz slang expression,expression,Social Media,soft launch usage,2026-03-18,85,real
so soft launch,intensified slang,expression,Chat,that is so soft launch,2026-03-18,85,real
soft launch af,strong emphasis,expression,Chat,this is soft launch af,2026-03-18,85,real
hard launch,genz slang expression,expression,Social Media,hard launch usage,2026-03-18,85,real
so hard launch,intensified slang,expression,Chat,that is so hard launch,2026-03-18,85,real
hard launch af,strong emphasis,expression,Chat,this is hard launch af,2026-03-18,85,real
delusional arc,genz slang expression,expression,Social Media,delusional arc usage,2026-03-18,85,real
so delusional arc,intensified slang,expression,Chat,that is so delusional arc,2026-03-18,85,real
delusional arc af,strong emphasis,expression,Chat,this is delusional arc af,2026-03-18,85,real
no thoughts,genz slang expression,expression,Social Media,no thoughts usage,2026-03-18,85,real
so no thoughts,intensified slang,expression,Chat,that is so no thoughts,2026-03-18,85,real
no thoughts af,strong emphasis,expression,Chat,this is no thoughts af,2026-03-18,85,real
head empty,genz slang expression,expression,Social Media,head empty usage,2026-03-18,85,real
so head empty,intensified slang,expression,Chat,that is so head empty,2026-03-18,85,real
head empty af,strong emphasis,expression,Chat,this is head empty af,2026-03-18,85,real
main slayer,genz slang expression,expression,Social Media,main slayer usage,2026-03-18,85,real
so main slayer,intensified slang,expression,Chat,that is so main slayer,2026-03-18,85,real
main slayer af,strong emphasis,expression,Chat,this is main slayer af,2026-03-18,85,real
aura farming,genz slang expression,expression,Social Media,aura farming usage,2026-03-18,85,real
so aura farming,intensified slang,expression,Chat,that is so aura farming,2026-03-18,85,real
aura farming af,strong emphasis,expression,Chat,this is aura farming af,2026-03-18,85,real
caught lacking,genz slang expression,expression,Social Media,caught lacking usage,2026-03-18,85,real
so caught lacking,intensified slang,expression,Chat,that is so caught lacking,2026-03-18,85,real
caught lacking af,strong emphasis,expression,Chat,this is caught lacking af,2026-03-18,85,real
caught in 4k,genz slang expression,expression,Social Media,caught in 4k usage,2026-03-18,85,real
so caught in 4k,intensified slang,expression,Chat,that is so caught in 4k,2026-03-18,85,real
caught in 4k af,strong emphasis,expression,Chat,this is caught in 4k af,2026-03-18,85,real
big yikes,genz slang expression,expression,Social Media,big yikes usage,2026-03-18,85,real
so big yikes,intensified slang,expression,Chat,that is so big yikes,2026-03-18,85,real
big yikes af,strong emphasis,expression,Chat,this is big yikes af,2026-03-18,85,real
yikes,genz slang expression,expression,Social Media,yikes usage,2026-03-18,85,real
so yikes,intensified slang,expression,Chat,that is so yikes,2026-03-18,85,real
yikes af,strong emphasis,expression,Chat,this is yikes af,2026-03-18,85,real
understood assignment,genz slang expression,expression,Social Media,understood assignment usage,2026-03-18,85,real
so understood assignment,intensified slang,expression,Chat,that is so understood assignment,2026-03-18,85,real
understood assignment af,strong emphasis,expression,Chat,this is understood assignment af,2026-03-18,85,real
bare minimum,genz slang expression,expression,Social Media,bare minimum usage,2026-03-18,85,real
so bare minimum,intensified slang,expression,Chat,that is so bare minimum,2026-03-18,85,real
bare minimum af,strong emphasis,expression,Chat,this is bare minimum af,2026-03-18,85,real
pick me,genz slang expression,expression,Social Media,pick me usage,2026-03-18,85,real
so pick me,intensified slang,expression,Chat,that is so pick me,2026-03-18,85,real
pick me af,strong emphasis,expression,Chat,this is pick me af,2026-03-18,85,real
so tryhard,intensified slang,expression,Chat,that is so tryhard,2026-03-18,85,real
tryhard af,strong emphasis,expression,Chat,this is tryhard af,2026-03-18,85,real
so clutch,intensified slang,expression,Chat,that is so clutch,2026-03-18,85,real
clutch af,strong emphasis,expression,Chat,this is clutch af,2026-03-18,85,real
so throwing,intensified slang,expression,Chat,that is so throwing,2026-03-18,85,real
throwing af,strong emphasis,expression,Chat,this is throwing af,2026-03-18,85,real
so low effort,intensified slang,expression,Chat,that is so low effort,2026-03-18,85,real
low effort af,strong emphasis,expression,Chat,this is low effort af,2026-03-18,85,real
high effort,genz slang expression,expression,Social Media,high effort usage,2026-03-18,85,real
so high effort,intensified slang,expression,Chat,that is so high effort,2026-03-18,85,real
high effort af,strong emphasis,expression,Chat,this is high effort af,2026-03-18,85,real
he cooked,genz slang expression,expression,Social Media,he cooked usage,2026-03-18,85,real
so he cooked,intensified slang,expression,Chat,that is so he cooked,2026-03-18,85,real
he cooked af,strong emphasis,expression,Chat,this is he cooked af,2026-03-18,85,real
she cooked,genz slang expression,expression,Social Media,she cooked usage,2026-03-18,85,real
so she cooked,intensified slang,expression,Chat,that is so she cooked,2026-03-18,85,real
she cooked af,strong emphasis,expression,Chat,this is she cooked af,2026-03-18,85,real
they cooked,genz slang expression,expression,Social Media,they cooked usage,2026-03-18,85,real
so they cooked,intensified slang,expression,Chat,that is so they cooked,2026-03-18,85,real
they cooked af,strong emphasis,expression,Chat,this is they cooked af,2026-03-18,85,real
overthinking,genz slang expression,expression,Social Media,overthinking usage,2026-03-18,85,real
so overthinking,intensified slang,expression,Chat,that is so overthinking,2026-03-18,85,real
overthinking af,strong emphasis,expression,Chat,this is overthinking af,2026-03-18,85,real
main vibe,genz slang expression,expression,Social Media,main vibe usage,2026-03-18,85,real
so main vibe,intensified slang,expression,Chat,that is so main vibe,2026-03-18,85,real
main vibe af,strong emphasis,expression,Chat,this is main vibe af,2026-03-18,85,real
corecore,genz slang expression,expression,Social Media,corecore usage,2026-03-18,85,real
so corecore,intensified slang,expression,Chat,that is so corecore,2026-03-18,85,real
corecore af,strong emphasis,expression,Chat,this is corecore af,2026-03-18,85,real
